0;8;0;4;0;16;0;4;20;0;0;12;0;4;0;18;0;0;0;8;
4;0;0;18;8;0;0;20;0;0;0;8;0;4;0;4;0;8;0;0;
4;0;0;4;0;0;20;0;18;0;4;0;0;4;0;0;12;0;0;20;
0;8;0;0;18;0;0;20;0;0;4;0;16;0;4;0;0;0;16;0;
0;0;0;12;0;0;0;4;0;16;0;0;20;0;0;12;0;8;0;0;
4;0;8;0;0;4;0;0;18;0;0;0;12;0;0;16;0;0;4;0;
0;0;12;0;0;24;0;0;12;0;0;8;0;0;24;0;0;0;0;4;
0;8;0;0;4;0;0;0;0;4;28;0;0;0;8;0;0;16;0;0;
0;0;12;0;0;16;0;0;0;8;0;0;20;0;0;12;0;0;8;0;
0;0;0;4;0;0;8;0;0;0;0;16;0;0;0;12;0;4;0;0;
16;0;0;0;12;0;0;0;24;0;0;16;0;0;8;0;0;0;4;8;
0;4;0;8;0;0;0;16;0;0;0;0;12;0;0;0;24;0;0;8;
0;0;8;0;0;16;0;0;0;8;0;0;0;4;0;0;0;4;0;0;
0;4;12;0;0;0;20;0;0;0;12;0;0;0;0;0;16;0;0;4;
4;0;0;16;0;0;0;12;0;0;0;0;0;0;0;24;0;0;12;0;
0;0;8;0;0;12;0;0;0;0;20;0;0;0;0;0;16;0;0;0;
0;0;0;16;0;0;0;0;0;4;0;0;0;8;0;0;0;0;8;0;
0;8;0;0;0;12;0;0;0;4;0;0;0;0;20;0;0;0;0;4;
4;0;0;0;0;8;0;0;0;0;12;0;0;0;20;0;0;8;0;0;
0;8;0;0;0;0;20;0;0;0;12;0;0;16;0;0;0;8;4;0;
